country,esg_risk_score,risk_category,co2,total_ghg,energy_per_capita
United States,0.1388329895133865,High Risk,4603.26752,5841.368893333333,83471.59838666666
Qatar,0.09673217715833857,High Risk,34.541560000000004,47.1288,152757.44576
Bahrain,0.0848021668513326,High Risk,14.214626666666666,30.077360000000002,133936.0618
China,0.07532253501958722,High Risk,3771.9295733333333,5370.90888,10356.27808
United Arab Emirates,0.0727755715826484,High Risk,88.24604545454545,108.75810606060605,113310.68383333334
Russia,0.07152742325724393,High Risk,1553.9045333333333,2374.8784,61358.22521333333
Canada,0.0712324910862011,High Risk,417.22728,766.6418,98945.40236000001
Kuwait,0.06963333603575578,High Risk,51.53762666666667,82.27286666666667,108405.10177333334
Brunei,0.06933171519645377,High Risk,5.27,7.847746666666667,110138.33705333334
Luxembourg,0.06497351188991714,High Risk,10.437546666666668,11.307586666666666,103149.63665333333
Iceland,0.059488080585950676,High Risk,2.2191466666666666,4.246519999999999,94549.71025333334
Norway,0.0583386255727971,High Risk,31.70036,43.48153333333333,91742.45093333334
Saudi Arabia,0.057611015021821706,High Risk,251.99072,311.89320000000004,84485.02785333333
Singapore,0.05335842021563536,High Risk,29.9694,34.706066666666665,84211.63388000001
Trinidad and Tobago,0.049050491542755786,High Risk,20.285493333333335,24.63797333333333,77446.37686666666
Germany,0.044824235375277695,High Risk,886.0755333333333,1061.70624,46259.46598666667
Australia,0.042723681748334255,High Risk,247.51166666666666,543.53624,55470.41205333333
Sweden,0.04216035713793034,High Risk,56.35362666666666,68.16121333333334,65188.26563999999
Estonia,0.04103643708815708,High Risk,20.86724,23.87465333333333,64655.93853333334
Belgium,0.03827690444284069,High Risk,110.40288000000001,135.63525333333334,57633.94650666667
United Kingdom,0.03770717501286034,High Risk,543.5812133333334,706.6143733333333,41402.89886666667
Netherlands,0.0365646116846942,High Risk,139.16984,184.86264,53971.92314666667
Ukraine,0.035371900358195776,High Risk,389.98915999999997,537.0650666666667,43493.467893333334
Oceania,0.034953794595102575,High Risk,278.16068,669.31076,40348.07692
Bahamas,0.03460478264922053,High Risk,2.4074933333333335,2.66984,54928.40718666667
Japan,0.03455522330737788,High Risk,874.63776,957.9566400000001,35841.74152
Czechia,0.03406667112974882,High Risk,128.53610666666668,149.91437333333332,50642.31713333334
Finland,0.03337903008966887,High Risk,42.76904,75.90845333333333,51498.722813333334
France,0.03327662150021708,High Risk,378.20886666666667,501.0730666666666,40397.597826666664
Nauru,0.03314719657052576,High Risk,0.08329508196721312,0.08501639344262295,52653.103819672135
Kazakhstan,0.03177652388593111,High Risk,190.09036,323.88413333333335,43868.45502666666
India,0.03040309172207657,High Risk,855.1323866666667,1785.9026533333333,3018.725786666667
New Zealand,0.030318794180894417,High Risk,23.5528,90.12417333333333,45812.22694666667
Turkmenistan,0.028176297923502572,High Risk,35.405453333333334,62.39828,43393.898199999996
Oman,0.02731100572656951,High Risk,27.43195081967213,46.19131147540984,42043.62304918033
Switzerland,0.027001248069775614,High Risk,35.93462666666667,45.63648,41822.32281333333
Denmark,0.026444268176225118,High Risk,47.01476,66.43877333333334,40450.272
Poland,0.02617849215421898,High Risk,314.5287333333333,435.25615999999997,30386.02192
Austria,0.026148278113666313,High Risk,54.565866666666665,69.60748,39791.542733333335
Lithuania,0.025653884405562176,High Risk,20.050506666666667,30.119986666666662,39965.305360000006
Belarus,0.024580852328997663,High Risk,65.31829333333334,114.19093333333333,36567.115333333335
Italy,0.023748798184310332,High Risk,324.7451066666667,389.98436000000004,28886.33196
Slovenia,0.02333742489100863,High Risk,11.718066666666667,17.514253333333333,36632.698346666664
Slovakia,0.0230722399061541,High Risk,42.17738666666667,56.94658666666666,35361.28634666666
Libya,0.022946645304100514,High Risk,33.19836,73.81187999999999,33859.82370666666
South Korea,0.022387227227286786,High Risk,275.91712,309.4990266666667,29336.411839999997
Brazil,0.021573719550702072,High Risk,238.7046533333333,2017.8306266666666,10088.798973333332
Ireland,0.02123568724608227,High Risk,28.555586666666667,58.238319999999995,32487.205
Malta,0.021064167192348295,Medium Risk,1.4829466666666666,1.62708,33378.77524
Venezuela,0.020181292655889915,High Risk,102.11774666666666,223.97953333333334,26426.780506666666
Latvia,0.020113959403318084,High Risk,12.166386666666668,18.545279999999998,31448.61834666667
Taiwan,0.01983469411484599,Medium Risk,132.50422666666668,147.25091999999998,28563.86772
South Africa,0.01971189749892093,High Risk,285.26742666666667,392.33666666666664,22844.190346666666
Spain,0.01919600451564909,High Risk,194.22406666666666,245.38565333333332,24902.2508
Israel,0.018256753880741886,High Risk,34.74726666666667,51.298453333333335,27606.534933333332
Bulgaria,0.01823774489701945,High Risk,51.63125333333333,71.95694666666667,27217.6348
Azerbaijan,0.01787324663135038,High Risk,33.349693333333335,45.43450666666667,27322.412106666667
Antigua and Barbuda,0.017854682620124258,Medium Risk,0.3589866666666667,0.3808266666666667,28288.180506666667
Seychelles,0.017453055162316145,High Risk,0.25983870967741934,0.3198225806451613,27650.7755
Hungary,0.017136145642578926,High Risk,59.05105333333333,77.52586666666667,25352.115
Iran,0.017074425193206136,Medium Risk,280.13038666666665,416.78854666666666,16753.32316
Aruba,0.016701377152833374,Medium Risk,1.0102533333333334,1.0378133333333333,26441.995066666666
Uzbekistan,0.016581182884806502,High Risk,86.50621333333333,132.28660000000002,23263.428693333335
Serbia,0.01632256109437186,Medium Risk,37.47761333333333,48.710480000000004,24602.289173333334
Argentina,0.01619330439409885,Medium Risk,115.19442666666667,321.7314666666667,17700.755613333335
Romania,0.016128955017653657,Medium Risk,108.84958666666667,156.12243999999998,21948.625959999998
Greece,0.015640398337134057,Medium Risk,56.51546666666666,73.39773333333333,23090.64130666667
Hong Kong,0.015300676483316676,Medium Risk,23.33424,26.763706666666668,23670.173039999998
Panama,0.015118062053237779,Medium Risk,4.80144,23.81972,23603.349000000002
Mexico,0.014936009034655487,Medium Risk,276.24724000000003,473.51176,13303.018706666666
Croatia,0.014074386887795024,Medium Risk,15.226706666666665,22.251493333333336,21747.82044
Barbados,0.01301987010290333,Medium Risk,0.8511066666666667,1.0923733333333332,20573.784613333337
Turks and Caicos Islands,0.012904965940849436,Medium Risk,0.2173142857142857,0.226,20408.85422857143
Suriname,0.012888468141015606,Medium Risk,1.7168533333333336,4.371266666666667,20328.29150666667
Malaysia,0.012758374920780875,Medium Risk,93.02644000000001,233.45586666666665,17238.519480000003
Cyprus,0.012504636406309784,Medium Risk,4.287373333333333,4.70896,19680.168413333333
Montenegro,0.012037652063819475,Medium Risk,1.57012,2.5113333333333334,18968.048
Indonesia,0.011913828774892964,Medium Risk,224.62586666666664,1139.4081866666668,3696.6423733333336
Portugal,0.011843747424336287,Medium Risk,34.171213333333334,49.43952,17541.335346666667
Chile,0.01020624260350346,Medium Risk,40.591386666666665,83.9292,14285.981853333333
British Virgin Islands,0.010104120652882981,Medium Risk,0.09946031746031746,0.11203174603174602,15949.550349206349
Turkey,0.009928498151052687,Medium Risk,169.5094,269.74408,10150.12768
Cook Islands,0.009723159698970288,Medium Risk,0.04794642857142857,0.06326785714285714,15343.319017857142
North Macedonia,0.009538945957672386,Medium Risk,6.87988,11.4076,14846.367946666665
North Korea,0.009468587367689586,Medium Risk,71.14354666666667,102.56125333333334,12606.167026666666
Jamaica,0.00928371176599377,Medium Risk,6.46932,9.959200000000001,14477.406333333334
Thailand,0.009207384674035203,Medium Risk,110.76996,334.88925333333333,8232.33328
Iraq,0.00893448020724482,Medium Risk,69.62064,155.44982666666667,9092.764706666667
Georgia,0.008667737387881215,Medium Risk,8.330893333333334,6.293053333333333,13374.124426666667
Armenia,0.008659748635435227,Medium Risk,5.122146666666667,7.736466666666667,13502.947306666667
Macao,0.008428474699232401,Medium Risk,0.8103380281690141,0.8684647887323944,13267.840647887324
Cuba,0.008412529454205892,Medium Risk,22.759973333333335,63.26502666666667,11988.064
Moldova,0.008157844143803463,Medium Risk,16.704893333333334,20.53568,12357.27128
Colombia,0.00811180578373585,Medium Risk,49.624226666666665,251.15967999999998,7866.246840000001
Mongolia,0.007985661946959086,Medium Risk,11.48608,56.81562666666666,11510.858773333333
Algeria,0.0078226862616667,Medium Risk,72.92364,129.57856,8682.39296
Bosnia and Herzegovina,0.007583416173954479,Medium Risk,13.38776,16.601133333333333,11422.413613333334
Djibouti,0.0075733119577577205,Medium Risk,0.28158666666666665,1.0683066666666667,11890.687733333334
Kyrgyzstan,0.007508842969204391,Medium Risk,10.997480000000001,21.665133333333333,11339.389106666666
Lebanon,0.007473834609776357,Medium Risk,10.579533333333334,13.001306666666666,11508.3164
Albania,0.007343767661038346,Medium Risk,4.01028,9.814119999999999,11356.200293333333
Nigeria,0.0073135294607994525,Medium Risk,62.41479999999999,332.68033333333335,1857.6087733333334
Jordan,0.007256404738328787,Medium Risk,10.578479999999999,13.741533333333333,11144.209306666666
Uruguay,0.007161581044566964,Medium Risk,5.3522799999999995,34.15609333333333,10071.168093333334
Saint Kitts and Nevis,0.007161273596633368,Medium Risk,0.10716,0.13805333333333333,11260.68348
Syria,0.006757484692371583,Medium Risk,27.403706666666665,45.660759999999996,9456.324666666666
Gabon,0.006474070162259456,Medium Risk,4.0944400000000005,23.28492,9593.541906666667
Niue,0.006239325847383645,Medium Risk,0.005272727272727273,0.010254545454545454,9795.5904
Egypt,0.006144499775162276,Medium Risk,98.76042666666667,150.77005333333335,6082.529146666667
Mauritius,0.005608791285962919,Low Risk,1.7762133333333334,2.4198133333333334,8743.239173333333
Pakistan,0.005488239036650184,Medium Risk,76.49074666666667,214.85117333333332,2579.401226666667
Guyana,0.005403227103456708,Medium Risk,1.5646266666666666,10.81992,8341.519173333332
Peru,0.005124828326196024,Medium Risk,26.15524,117.33129333333333,6151.505906666667
Vietnam,0.005074801139285043,Low Risk,73.73157333333334,228.73596,3416.5308
Botswana,0.005030167085790405,Medium Risk,3.478,14.846905660377358,7501.017358490566
Tunisia,0.005016584551898347,Medium Risk,14.196773333333335,24.566906666666668,7279.6548533333325
Belize,0.004945642235946564,Medium Risk,0.30024,4.981773333333333,7718.806693333333
Ecuador,0.004870083455747139,Medium Risk,18.256866666666667,81.23625333333334,6336.595466666667
Tajikistan,0.004845705758890833,Medium Risk,6.457986666666667,14.321813333333333,7253.741853333333
Equatorial Guinea,0.004768930487380358,Low Risk,2.1784666666666666,5.6559333333333335,7293.525839999999
Philippines,0.004727662688066842,Medium Risk,53.07252,215.38172,3138.256373333333
Maldives,0.004450937921768584,Low Risk,0.6232777777777778,0.7090555555555556,6934.151592592592
Fiji,0.004386028609834827,Medium Risk,0.7208800000000001,2.5571066666666664,6801.0483466666665
Dominican Republic,0.004368720559677771,Medium Risk,11.568906666666667,27.961426666666668,6220.030479999999
Namibia,0.004265572182889525,Medium Risk,2.5646764705882354,15.168911764705884,6379.05705882353
Saint Lucia,0.004231619502746131,Low Risk,0.21941333333333332,0.29490666666666665,6591.942186666666
Costa Rica,0.004228727400760386,Medium Risk,3.788813333333333,26.182226666666665,6242.997439999999
Bolivia,0.003844985790059765,Low Risk,8.48748,96.48172,4563.707586666667
Saint Helena,0.0036674104377807486,Medium Risk,0.009377777777777778,0.01248888888888889,5698.9482
Grenada,0.003552535294287472,Low Risk,0.12866666666666668,0.15732,5512.483306666666
Dominica,0.003234231737257896,Low Risk,0.0743918918918919,0.13087837837837837,5006.2824594594595
Morocco,0.0031843874978720486,Low Risk,26.76546666666667,56.30026666666667,3631.081786666667
Zimbabwe,0.0031412077767117488,Low Risk,9.857613333333333,38.442879999999995,4167.3081999999995
Eswatini,0.0030133692600863,Low Risk,0.6111369863013698,2.4796301369863016,4596.895383561644
Bangladesh,0.002992184638247829,Low Risk,26.672,118.87901333333333,870.3770533333334
Saint Vincent and the Grenadines,0.0029829059417832756,Low Risk,0.10622666666666668,0.16908,4605.543933333333
Paraguay,0.002935904258654237,Low Risk,2.779053333333333,63.456453333333336,3632.8903333333337
Myanmar,0.002757893616577524,Low Risk,9.09692,172.44157333333334,1011.6308399999999
Angola,0.0026744619175784272,Low Risk,9.861186666666667,106.79094666666667,2195.520106666667
Micronesia (country),0.002530083880553766,Low Risk,0.14733333333333334,0.2026060606060606,3883.0906666666665
Samoa,0.0025166200102024923,Low Risk,0.10364,0.3385066666666667,3859.288106666667
Cape Verde,0.0024990476668110676,Low Risk,0.22565333333333332,0.38967999999999997,3830.472666666667
Guatemala,0.0024955871217602855,Low Risk,6.866986666666667,61.18109333333334,3117.276013333333
Bhutan,0.0024885807197872695,Low Risk,0.5418,11.79590909090909,3777.3911454545455
El Salvador,0.0023974065560362747,Low Risk,3.52628,11.343826666666667,3401.762346666667
Ethiopia,0.0022654928240093894,Low Risk,4.402533333333333,159.14782666666667,305.61268
Zambia,0.002249406921219163,Low Risk,4.011173333333334,68.78768,2594.8761466666665
Nicaragua,0.00223187111378453,Low Risk,2.630453333333333,50.13584,2868.76184
Honduras,0.002225771216960593,Low Risk,4.13052,35.953586666666666,2905.2894533333333
Yemen,0.002188004177438113,Low Risk,9.4404,20.48428,2801.3406
Tonga,0.002129232512678809,Low Risk,0.06562666666666667,0.20297333333333334,3244.9908933333336
Vanuatu,0.0021192007505240903,Low Risk,0.088,1.3360317460317461,3219.3942539682544
Sudan,0.002035291749142244,Low Risk,6.8935466666666665,85.57406666666667,1147.46792
Mauritania,0.0019666741960325316,Low Risk,1.5131515151515151,9.575484848484848,2732.126424242424
Sri Lanka,0.0019087405947037994,Low Risk,7.571626666666666,36.078160000000004,2236.496493333333
Kenya,0.001902104349057034,Low Risk,7.350813333333334,61.35404,1521.0156933333333
Papua New Guinea,0.0018677779515017634,Low Risk,2.7961066666666667,26.184573333333333,2557.9473733333334
Cote d'Ivoire,0.0018112755489663273,Low Risk,5.334786666666666,96.22229333333333,2006.96612
Congo,0.0017668049360659002,Low Risk,2.547693333333333,33.304653333333334,2099.75976
Liberia,0.001763611612293684,Low Risk,0.7003466666666666,14.651946666666666,2530.2371733333334
Laos,0.001628056764207815,Low Risk,3.4716142857142858,42.202757142857145,1977.1230714285714
Democratic Republic of Congo,0.0016072133397226035,Low Risk,3.11384,313.89824,492.55328
Senegal,0.0015401263479640228,Low Risk,4.007986666666667,18.606626666666667,1878.3409199999999
Cameroon,0.0014859208441936164,Low Risk,4.123226666666667,63.44338666666667,1329.7736133333335
Tanzania,0.0014723325995643869,Low Risk,4.5979866666666664,116.51373333333335,577.8533066666666
Mozambique,0.001418580052144564,Low Risk,2.8020533333333333,56.149386666666665,1361.64688
Ghana,0.001389595035319798,Low Risk,5.68724,35.30526666666667,1483.23036
Solomon Islands,0.0013788508956377433,Low Risk,0.15905479452054794,1.7919041095890411,2045.5188219178083
Cambodia,0.0013061746375342092,Low Risk,3.5944142857142856,62.99505714285715,930.6832285714286
Sao Tome and Principe,0.0012879774013823952,Low Risk,0.054337837837837834,0.09095945945945946,1906.8361756756758
Kiribati,0.0012679380169952396,Low Risk,0.03640625,0.057765625,1875.98215625
Madagascar,0.0011540063642518554,Low Risk,1.5015733333333332,81.52390666666666,509.3428933333333
South Sudan,0.0010881772770311418,Low Risk,0.6071066666666667,45.910453333333336,570.82732
Guinea,0.0010362645652091343,Low Risk,1.4124266666666667,42.393746666666665,849.6344133333333
